"Name","Exists","TotalSizeMB","TotalFiles","CodeFiles","TotalLines","PyFiles","JsFiles","MdFiles","JsonFiles","GitCommits","LastModified"
"MoCKA","True","164.88","6484","5049","3453498","3676","6","92","1218","271","2026-03-28 17:52"
"MoCKA-KNOWLEDGE-GATE","True","34.93","2845","2422","713680","28","1493","385","406","406","2026-03-28 16:38"
"mocka-runtime","True","0.02","3","3","610","0","0","3","0","4","2026-03-16 09:52"
"mocka-transparency","True","21.67","1185","530","127306","506","0","5","11","17","2026-03-28 10:53"
"mocka-external-brain","True","0.01","7","3","198","0","0","3","0","19","2026-03-13 17:26"
"mocka-civilization","True","0.23","134","131","5881","0","0","131","0","141","2026-03-13 17:24"
"mocka-public","True","0.05","35","33","1279","0","0","30","0","7","2026-03-24 19:14"
"mocka-outfield","True","0.01","15","9","113","0","0","6","3","2","2026-03-19 17:37"
