ts,emit_id,received_sha256,match_flag,receiver_fpr,receiver_sig
2026-03-01T11:21:40,emit_20260301_021906_585,64758532fe448a34a3b92fa05b19b8b764fa6647a5f0c28676c1da08b390dabc,true,0BF207F43CD6BF24FA4D177CD01AC75AC18C182E,emit_20260301_021906_585.accept.txt.asc
2026-03-01T11:22:41,emit_20260301_021858_846,2576aaca510a7a1a0a388f546a727dd07d86b35ce1d4bd3e13355f03da470cc2,true,0BF207F43CD6BF24FA4D177CD01AC75AC18C182E,emit_20260301_021858_846.accept.txt.asc
2026-03-01T11:26:18,emit_20260301_022618_558,bd00f0c4e361511f318e6493386b675501848e96462e8708608075cca2883386,true,0BF207F43CD6BF24FA4D177CD01AC75AC18C182E,emit_20260301_022618_558.accept.txt.asc
2026-03-01T11:32:41,emit_20260301_023240_690,1be966009d8a9e77b4d2aa68a897cab0d23e898604eeff35a54ddc8c722d6a68,true,0BF207F43CD6BF24FA4D177CD01AC75AC18C182E,emit_20260301_023240_690.accept.txt.asc
2026-03-01T11:36:40,emit_20260301_021858_846,2576aaca510a7a1a0a388f546a727dd07d86b35ce1d4bd3e13355f03da470cc2,true,FFA3AD2322B094AFEC12CA886BA095C48E3315F2,emit_20260301_021858_846.accept.migrated.txt.asc
2026-03-01T11:37:29,emit_20260301_021906_585,64758532fe448a34a3b92fa05b19b8b764fa6647a5f0c28676c1da08b390dabc,true,FFA3AD2322B094AFEC12CA886BA095C48E3315F2,emit_20260301_021906_585.accept.migrated.txt.asc
2026-03-01T11:47:19,emit_20260301_021906_585,64758532fe448a34a3b92fa05b19b8b764fa6647a5f0c28676c1da08b390dabc,true,,emit_20260301_021906_585.accept.migrated.txt.asc
2026-03-01T11:49:36,emit_20260301_021906_585,64758532fe448a34a3b92fa05b19b8b764fa6647a5f0c28676c1da08b390dabc,true,,emit_20260301_021906_585.accept.migrated.txt.asc
2026-03-01T11:50:42,emit_20260301_021906_585,64758532fe448a34a3b92fa05b19b8b764fa6647a5f0c28676c1da08b390dabc,true,FFA3AD2322B094AFEC12CA886BA095C48E3315F2,emit_20260301_021906_585.accept.migrated.txt.asc
